"837,AGHIA MARINA,52"
"837,AGHIA VARVARA,52"
"830,AGHIA MARINA,58"
"830,AGHIA VARVARA,58"
"892,AGHIA VARVARA,60"
"892,AGHIA MARINA,60"
"876,AGHIA MARINA,67"
"891,AGHIA MARINA,27"
"866,AGHIA MARINA,65"
"836,AGHIA MARINA,3"
"803,AGHIA MARINA,50"
"868,AGHIA MARINA,6"
"876,AGHIA MARINA,67"
"807,AGHIA VARVARA,51"
"831,AGHIA VARVARA,151"
"750,AGHIA VARVARA,92"
"806,AGHIA VARVARA,55"
"856,AGHIA VARVARA,147"
"836,METAXOURGHIO,3"
"836,MONASTIRAKI,3"
"836,THISIO,3"
"876,METAXOURGHIO,67"
"876,MONASTIRAKI,67"
"876,THISIO,67"
"866,METAXOURGHIO,65"
"866,MONASTIRAKI,65"
"866,THISIO,65"
"036,KATEHAKI,48"
"402,KATEHAKI,102"
"813,AMBELOKIPI,120"
"A13,METAXOURGHIO,179"
"A13,OMONIA,179"
"021,OMONIA,71"
"021,PANEPISTIMIO,71"
"035,KALLITHEA,153"
"035,TAVROS,153"
"049,OMONIA,127"
"049,PANEPISTIMIO,127"
"057,SEPOLIA,55"
"046,OMONIA,89"
"046,VIKTORIA,89"
"19,OMONIA,5"
"19,VIKTORIA,5"
"18,OMONIA,64"
"18,VIKTORIA,64"
"19B,OMONIA,29"
"19B,VIKTORIA,29"
"046,KATEHAKI,89"
"242,KATEHAKI,89"
"A8,OMONIA,161"
"A8,VIKTORIA,161"
"B12,OMONIA,171"
"B12,VIKTORIA,171"
"A8,NERATZIOTISSA,161"
"410,NERATZIOTISSA,47"
"740,NERATZIOTISSA,49"
"E14,NERATZIOTISSA,90"
"560,KIFISSIA,34"
"523,KIFISSIA,33"
"522,KIFISSIA,33"
"530,KIFISSIA,96"
"526,KIFISSIA,28"
"524,KIFISSIA,29"
"A11,LARISSA STATION,101"
"A11,METAXOURGHIO,101"
"A11,OMONIA,101"
"B11,LARISSA STATION,97"
"B11,METAXOURGHIO,97"
"B11,OMONIA,97"
"A15,ATTIKI,196"
"A15,LARISSA STATION,196"
"A15,METAXOURGHIO,196"
"B15,ATTIKI,32"
"B15,LARISSA STATION,32"
"B15,METAXOURGHIO,32"
"A10,ATTIKI,117"
"A10,LARISSA STATION,117"
"A10,METAXOURGHIO,117"
"891,AGHIA VARVARA,27"
"14,PANORMOU,155"
"B9,METAXOURGHIO,161"
"B9,OMONIA,161"
"871,PIRAEUS,34"
"845,PIRAEUS,108"
"500,PIRAEUS,9"
"906,PIRAEUS,77"
"300,PIRAEUS,37"
"904,PIRAEUS,60"
"218,PIRAEUS,136"
"801,PIRAEUS,1"
"871T,PIRAEUS,5"
"X96,PIRAEUS,63"
"E90,PIRAEUS,8"
"803,PIRAEUS,50"
"824,PIRAEUS,76"
"500,KIFISSIA,9"
"550,KIFISSIA,184"
"A7,KIFISSIA,150"
"X14,KIFISSIA,13"
"856,AGHIOS DIMITRIOS,147"
"212,DAFNI,78"
"141,DAFNI,86"
"218,DAFNI,136"
"219,DAFNI,148"
"816,DAFNI,4"
"X97,DAFNI,17"
"131,DAFNI,58"
"164,AGHIOS DIMITRIOS,106"
"109,AGHIOS DIMITRIOS,56"
"022,PANEPISTIMIO,97"
"022,SYNTAGMA,97"
"304,NOMISMATOKOPIO,69"
"305,NOMISMATOKOPIO,68"
"308,NOMISMATOKOPIO,105"
"316,NOMISMATOKOPIO,3"
"910,ACROPOLI,64"
"910,NEOS KOSMOS,64"
"910,SYNGROU-FIX,64"
"B2,ACROPOLI,64"
"B2,NEOS KOSMOS,64"
"B2,SYNGROU-FIX,64"
"17,DIMOTIKO THEATRO,68"
"17,PIRAEUS,68"
"20,FALIRO,111"
"503,KAT,28"
"503,KIFISSIA,28"
"507,KAT,87"
"507,KIFISSIA,87"
"536,KAT,114"
"536,KIFISSIA,114"
"535,KAT,12"
"535,KIFISSIA,12"
"509,KAT,101"
"509,KIFISSIA,101"
"535A,KAT,5"
"535A,KIFISSIA,5"
"142,ARGYROUPOLI,22"
"171,ARGYROUPOLI,65"
"230,MONASTIRAKI,153"
"230,SYNGROU-FIX,153"
"230,THISIO,153"
"227,PETRALONA,101"
"227,TAVROS,101"
"217,DAFNI,57"
"229,DAFNI,59"
"703,AGHIOS ELEFTHERIOS,133"
"6,OMONIA,126"
"6,PANEPISTIMIO,126"
"3,PERISSOS,162"
"11,AGHIOS ELEFTHERIOS,171"
"11,ANO PATISSIA,171"
"040,PANEPISTIMIO,253"
"040,SYNTAGMA,253"
"X14,ACROPOLI,13"
"X14,SYNTAGMA,13"
"12,ACROPOLI,130"
"12,SYNTAGMA,130"
"E14,ACROPOLI,90"
"E14,SYNTAGMA,90"
"15,PETRALONA,92"
"1,ATTIKI,90"
"1,LARISSA STATION,90"
"4,AGHIOS IOANNIS,129"
"4,NEOS KOSMOS,129"
"19,HALANDRI,5"
"201,AGHIOS DIMITRIOS,29"
"X95,PANEPISTIMIO,162"
"X95,SYNTAGMA,162"
"307,DOUK PLAKENTIAS,66"
"306,DOUK PLAKENTIAS,28"
"302,DOUK PLAKENTIAS,54"
"319,DOUK PLAKENTIAS,44"
"411,DOUK PLAKENTIAS,32"
"301,DOUK PLAKENTIAS,21"
"301B,DOUK PLAKENTIAS,4"
"314,DOUK PLAKENTIAS,75"
"407,DOUK PLAKENTIAS,54"
"405,HALANDRI,37"
"450,HALANDRI,74"
"451,HALANDRI,37"
"460,HALANDRI,77"
"461,HALANDRI,37"
"21,NIKAIA,98"
"A7,OMONIA,150"
"A7,VIKTORIA,150"
"444,IRINI,24"
"602,IRAKLIO,55"
"642,IRAKLIO,47"
"B10,ATTIKI,116"
"B10,LARISSA STATION,116"
"B10,METAXOURGHIO,116"
"728,ATTIKI,40"
"728,LARISSA STATION,40"
"728,METAXOURGHIO,40"
"A5,PANEPISTIMIO,144"
"A5,SYNTAGMA,144"
"060,PANEPISTIMIO,34"
"060,SYNTAGMA,34"
"823,AGHIOS ANTONIOS,73"
"822,AGHIOS ANTONIOS,115"
"706,AGHIOS ANTONIOS,48"
"653,AMBELOKIPI,32"
"653,PANORMOU,32"
"914,MONASTIRAKI,16"
"914,OMONIA,16"
"914,PANEPISTIMIO,16"
"838,MONASTIRAKI,29"
"838,OMONIA,29"
"838,PANEPISTIMIO,29"
"915,MANIATIKA,86"
"915,NIKAIA,86"
"B5,LARISSA STATION,147"
"B5,METAXOURGHIO,147"
"446,MAROUSSI,74"
"410,MAROUSSI,47"
"543,KIFISSIA,29"
"543A,KIFISSIA,9"
"911,KALLITHEA,18"
"911,TAVROS,18"
"219,KALLITHEA,148"
"219,TAVROS,148"
"911A,KALLITHEA,2"
"911A,TAVROS,2"
"816,KALLITHEA,4"
"421,AGHIA PARASKEVI,164"
"801,PIRAEUS,1"
"803,PIRAEUS,50"
"827,PIRAEUS,35"
"703,PIRAEUS,133"
"814,PIRAEUS,55"
"830,PIRAEUS,58"
"20,DIMOTIKO THEATRO,111"
"20,PIRAEUS,111"
"527,NERATZIOTISSA,24"
"025,MONASTIRAKI,72"
"025,OMONIA,72"
"025,PANEPISTIMIO,72"
"025,SYNTAGMA,72"
"026,MONASTIRAKI,74"
"026,OMONIA,74"
"026,PANEPISTIMIO,74"
"026,SYNTAGMA,74"
"500,ATTIKI,9"
"500,LARISSA STATION,9"
"500,VIKTORIA,9"
"831,AGHIA MARINA,151"
"829,AGHIA MARINA,63"
"828,NIKAIA,27"
"909,NIKAIA,114"
"640,IRAKLIO,34"
"731,ANTHOUPOLI,75"
"731,PERISTERI,75"
"700,ANTHOUPOLI,51"
"700,PERISTERI,51"
"703,ANTHOUPOLI,133"
"703,PERISTERI,133"
"25,AGHIOS ANTONIOS,39"
"823,ANTHOUPOLI,73"
"605,NEA IONIA,49"
"101,ALIMOS,40"
"790,ALIMOS,10"
"A3,ALIMOS,143"
"X97,ALIMOS,17"
"790,ARGYROUPOLI,10"
"A3,ARGYROUPOLI,143"
"B1,ARGYROUPOLI,56"
"101,ARGYROUPOLI,40"
"140,ARGYROUPOLI,83"
"201,ARGYROUPOLI,29"
"101,ELLINIKO,40"
"B1,ALIMOS,56"
"164,ALIMOS,106"
"140,ALIMOS,83"
"124,ARGYROUPOLI,42"
"154,ARGYROUPOLI,52"
"122,ARGYROUPOLI,87"
"405,DOUK PLAKENTIAS,37"
"447,DOUK PLAKENTIAS,72"
"451,DOUK PLAKENTIAS,37"
"416,ETHNIKI AMYNA,67"
"418,ETHNIKI AMYNA,58"
"790,AGHIOS ANTONIOS,10"
"890,AGHIA MARINA,2"
"841,NIKAIA,54"
"800,NIKAIA,43"
"820,NIKAIA,58"
"809,NIKAIA,55"
"827,NIKAIA,35"
"846,NIKAIA,56"
"164,ILIOUPOLI,106"
"915,PIRAEUS,86"
"711,ATTIKI,52"
"711,LARISSA STATION,52"
"B12,ATTIKI,171"
"B12,LARISSA STATION,171"
"140,ILIOUPOLI,83"
"201,ILIOUPOLI,29"
"750,KORYDALLOS,92"
"842,KORYDALLOS,55"
"806,KORYDALLOS,55"
"809,KORYDALLOS,55"
"830,KORYDALLOS,58"
"852,KORYDALLOS,40"
"21,KORYDALLOS,98"
"827,KORYDALLOS,35"
"831,NIKAIA,151"
"810,NIKAIA,56"
"830,NIKAIA,58"
"A2,OMONIA,148"
"A2,PANEPISTIMIO,148"
"A2,SYNTAGMA,148"
"A3,OMONIA,143"
"A3,PANEPISTIMIO,143"
"A3,SYNTAGMA,143"
"115,OMONIA,6"
"115,PANEPISTIMIO,6"
"115,SYNTAGMA,6"
"052,ELEONAS,43"
"220,MEGARO MOUSSIKIS,81"
"444,NERATZIOTISSA,24"
"810,KORYDALLOS,56"
"421,PERISSOS,164"
"205,ELLINIKO,92"
"790,ELLINIKO,10"
"A3,ELLINIKO,143"
"171,ELLINIKO,65"
"122,ELLINIKO,87"
"790,AGHIOS IOANNIS,10"
"790,DAFNI,10"
"A3,AGHIOS IOANNIS,143"
"A3,DAFNI,143"
"218,AGHIOS IOANNIS,136"
"218,NEOS KOSMOS,136"
"112,DAFNI,54"
"164,DAFNI,106"
"112,AGHIOS IOANNIS,54"
"164,AGHIOS IOANNIS,106"
"206,AGHIOS IOANNIS,82"
"206,DAFNI,82"
"237,AGHIOS IOANNIS,79"
"237,DAFNI,79"
"137,NEOS KOSMOS,46"
"815,MEGARO MOUSSIKIS,78"
"622,MEGARO MOUSSIKIS,80"
"235,MEGARO MOUSSIKIS,66"
"608,MEGARO MOUSSIKIS,288"
"032,MEGARO MOUSSIKIS,3"
"140,MEGARO MOUSSIKIS,83"
"235,AMBELOKIPI,66"
"608,AMBELOKIPI,288"
"914,MOSCHATO,16"
"420,MOSCHATO,110"
"838,MOSCHATO,29"
"049,MOSCHATO,127"
"860,MOSCHATO,64"
"101,ILIOUPOLI,40"
"790,ILIOUPOLI,10"
"A3,ILIOUPOLI,143"
"X97,ILIOUPOLI,17"
"109,ILIOUPOLI,56"
"790,AGHIOS DIMITRIOS,10"
"A3,AGHIOS DIMITRIOS,143"
"X97,AGHIOS DIMITRIOS,17"
"A8,IRAKLIO,161"
"500,IRAKLIO,9"
"640,NEA IONIA,34"
"250,MEGARO MOUSSIKIS,92"
"221,MEGARO MOUSSIKIS,42"
"5,PETRALONA,147"
"1,PETRALONA,90"
"500,KALLITHEA,9"
"218,KALLITHEA,136"
"500,TAVROS,9"
"218,TAVROS,136"
"816,TAVROS,4"
"500,PETRALONA,9"
"5,TAVROS,147"
"1,TAVROS,90"
"040,TAVROS,253"
"040,KALLITHEA,253"
"5,KALLITHEA,147"
"1,KALLITHEA,90"
"500,KAT,9"
"550,KAT,184"
"A7,KAT,150"
"X14,KAT,13"
"721,KIFISSIA,43"
"504,KIFISSIA,60"
"B9,KIFISSIA,161"
"530,KAT,96"
"501,KAT,19"
"501,KIFISSIA,19"
"721,KAT,43"
"504,KAT,60"
"831,KORYDALLOS,151"
"860,KORYDALLOS,64"
"809,AGHIA VARVARA,55"
"810,AGHIA VARVARA,56"
"305,AGHIA PARASKEVI,68"
"304,AGHIA PARASKEVI,69"
"308,AGHIA PARASKEVI,105"
"A5,AGHIA PARASKEVI,144"
"A5,NOMISMATOKOPIO,144"
"316,AGHIA PARASKEVI,3"
"407,AGHIA PARASKEVI,54"
"407,NOMISMATOKOPIO,54"
"406,AGHIA PARASKEVI,37"
"406,NOMISMATOKOPIO,37"
"B5,AGHIA PARASKEVI,147"
"B5,NOMISMATOKOPIO,147"
"406,DOUK PLAKENTIAS,37"
"406,HALANDRI,37"
"406,DOUK PLAKENTIAS,37"
"X95,NOMISMATOKOPIO,162"
"500,MOSCHATO,9"
"218,MOSCHATO,136"
"049,KALLITHEA,127"
"914,KALLITHEA,16"
"500,PEFKAKIA,9"
"500,PERISSOS,9"
"A8,PEFKAKIA,161"
"A8,PERISSOS,161"
"500,NEA IONIA,9"
"A8,NEA IONIA,161"
"602,NEA IONIA,55"
"605,PEFKAKIA,49"
"605,PERISSOS,49"
"602,PEFKAKIA,55"
"724,NEA IONIA,80"
"724,PEFKAKIA,80"
"604,NEA IONIA,11"
"604,PEFKAKIA,11"
"421,NEA IONIA,164"
"421,PEFKAKIA,164"
"6,PERISSOS,126"
"B9,PERISSOS,161"
"619,PERISSOS,47"
"755,PERISSOS,66"
"755B,PERISSOS,21"
"852,NIKAIA,40"
"841,KORYDALLOS,54"
"750,NIKAIA,92"
"814,NIKAIA,55"
"820,MANIATIKA,58"
"841,MANIATIKA,54"
"825,MANIATIKA,25"
"824,MANIATIKA,76"
"871T,MANIATIKA,5"
"871,MANIATIKA,34"
"846,KORYDALLOS,56"
"800,KORYDALLOS,43"
"814,MANIATIKA,55"
"909,MANIATIKA,114"
"750,MANIATIKA,92"
"300,DIMOTIKO THEATRO,37"
"904,DIMOTIKO THEATRO,60"
"906,DIMOTIKO THEATRO,77"
"229,DIMOTIKO THEATRO,59"
"229,PIRAEUS,59"
"130,DIMOTIKO THEATRO,36"
"130,PIRAEUS,36"
"049,DIMOTIKO THEATRO,127"
"049,PIRAEUS,127"
"040,DIMOTIKO THEATRO,253"
"040,PIRAEUS,253"
"909,DIMOTIKO THEATRO,114"
"909,PIRAEUS,114"
"A1,DIMOTIKO THEATRO,92"
"A1,PIRAEUS,92"
"B1,DIMOTIKO THEATRO,56"
"B1,PIRAEUS,56"
"217,DIMOTIKO THEATRO,57"
"217,PIRAEUS,57"
"112,AGHIOS DIMITRIOS,54"
"219,AGHIOS DIMITRIOS,148"
"816,AGHIOS DIMITRIOS,4"
"X96,DIMOTIKO THEATRO,63"
"831,DIMOTIKO THEATRO,151"
"831,PIRAEUS,151"
"16,DIMOTIKO THEATRO,55"
"16,PIRAEUS,55"
"420,DIMOTIKO THEATRO,110"
"420,PIRAEUS,110"
"828,DIMOTIKO THEATRO,27"
"828,PIRAEUS,27"
"859,PIRAEUS,31"
"843,PIRAEUS,207"
"832,DIMOTIKO THEATRO,37"
"832,PIRAEUS,37"
"833,DIMOTIKO THEATRO,38"
"833,PIRAEUS,38"
"859,DIMOTIKO THEATRO,31"
"843,DIMOTIKO THEATRO,207"
"E90,DIMOTIKO THEATRO,8"
"500,DIMOTIKO THEATRO,9"
"218,DIMOTIKO THEATRO,136"
"915,DIMOTIKO THEATRO,86"
"B1,FALIRO,56"
"500,FALIRO,9"
"A1,FALIRO,92"
"218,FALIRO,136"
"130,FALIRO,36"
"X96,FALIRO,63"
"040,FALIRO,253"
"E90,FALIRO,8"
"217,FALIRO,57"
"229,FALIRO,59"
"420,FALIRO,110"
"049,FALIRO,127"
"824,PIRAEUS,76"
"826,PIRAEUS,71"
"825,PIRAEUS,25"
"845,MANIATIKA,108"
"803,MANIATIKA,50"
"824,DIMOTIKO THEATRO,76"
"825,DIMOTIKO THEATRO,25"
"17,MANIATIKA,68"
"843,MANIATIKA,207"
"826,MANIATIKA,71"
"871T,MANIATIKA,5"
"826,DIMOTIKO THEATRO,71"
"827,DIMOTIKO THEATRO,35"
"809,PIRAEUS,55"
"810,PIRAEUS,56"
"846,PIRAEUS,56"
"801,DIMOTIKO THEATRO,1"
"803,DIMOTIKO THEATRO,50"
"703,DIMOTIKO THEATRO,133"
"845,DIMOTIKO THEATRO,108"
"814,DIMOTIKO THEATRO,55"
"830,DIMOTIKO THEATRO,58"
"827,MANIATIKA,35"
"830,MANIATIKA,58"
"800,MANIATIKA,43"
"809,DIMOTIKO THEATRO,55"
"810,DIMOTIKO THEATRO,56"
"846,DIMOTIKO THEATRO,56"
"112,ILIOUPOLI,54"
"A13,AGHIOS ANTONIOS,179"
"12,AGHIOS ANTONIOS,130"
"730,AGHIOS ANTONIOS,101"
"24,AGHIOS ANTONIOS,50"
"730,PERISTERI,101"
"748,AGHIOS ANTONIOS,45"
"748,PERISTERI,45"
"A13,PERISTERI,179"
"25,PERISTERI,39"
"12,PERISTERI,130"
"748,ANTHOUPOLI,45"
"A13,ANTHOUPOLI,179"
"891,AGHIOS ANTONIOS,27"
"891,ANTHOUPOLI,27"
"891,PERISTERI,27"
"892,AGHIOS ANTONIOS,60"
"892,ANTHOUPOLI,60"
"892,PERISTERI,60"
"25,ANTHOUPOLI,39"
"12,ANTHOUPOLI,130"
"24,ANTHOUPOLI,50"
"24,PERISTERI,50"
"747,ANTHOUPOLI,44"
"701,ANTHOUPOLI,29"
"705,ANTHOUPOLI,47"
"747,PERISTERI,44"
"701,PERISTERI,29"
"705,PERISTERI,47"
"822,PERISTERI,115"
"823,PERISTERI,73"
"822,ANTHOUPOLI,115"
"821,AGHIOS ANTONIOS,56"
"821,PERISTERI,56"
"420,SEPOLIA,110"
"X93,SEPOLIA,83"
"790,SEPOLIA,10"
"420,AGHIOS ANTONIOS,110"
"891,SEPOLIA,27"
"732,SEPOLIA,108"
"035,PETRALONA,153"
"856,AGHIOS IOANNIS,147"
"856,DAFNI,147"
"811,AGHIA MARINA,54"
"801,AGHIA MARINA,1"
"865,AGHIA MARINA,2"
"19,AGHIA PARASKEVI,5"
"461,AGHIA PARASKEVI,37"
"451,AGHIA PARASKEVI,37"
"450,DOUK PLAKENTIAS,74"
"450,AGHIA PARASKEVI,74"
"460,AGHIA PARASKEVI,77"
"X95,HOLARGOS,162"
"B5,HOLARGOS,147"
"416,HOLARGOS,67"
"416,NOMISMATOKOPIO,67"
"A5,HOLARGOS,144"
"447,HALANDRI,72"
